"","country","name","description","startYr","endYr"
"932","belarus","aleksandr_kulichkov_","Minister of Trade","20060531","20161201"
"933","belarus","aleksandr_kosinets_","Deputy Prime Minister","20060101","20090231"
"934","belarus","aleksandr_ivankov_","Minister of Trade","20060601","20090231"
"935","belarus","aleksandr_grigorov_","Minister of Sports and Tourism","20060601","20100331"
"936","belarus","aleg_ivanou_|aleh_ivanov_","Acting Permanent Representative to the UN, New York","20040301","20050731"
"937","belgium","yves_leterme_","Deputy Prime Minister & Minister of Foreign Affairs & Minister of Budget, Transport, and Institutional Reform","20080101","20081231"
"938","belgium","vincent_van_quickenborne_","Secretary of State for Administrative Simplification & Minister of Enterprise and Streamlining","20030801","20071231"
"939","belgium","steven_vanackere_","Minister of Civil Service, Public Enterprise, and Institutional Reform","20090101","20161201"
"940","belgium","stefaan_de_clerck_","Minister of Justice","20090101","20161201"
"941","belgium","sabine_laruelle_","Minister of Middle Classes and Agriculture","20030801","20161201"
"942","belgium","rudy_demotte_","Minister of Social Affairs & Minister of Social Affairs and Public Health & Minister of Social Affairs and Public Health","20040801","20051031"
"943","belgium","rik_daems_","Minister of Telecommunications and State-owned Companies","20030731","20161201"
"944","belgium","renaat_landuyt_","Minister of Transport","20040801","20071231"
"945","belgium","pieter_de_crem_","Minister of Defense","20080101","20161201"
"946","belgium","philippe_courard_","State Secretary for Social Integration and the Fight Against Poverty","20090801","20091131"
"947","belgium","peter_vanvelthoven_","Secretary of State for National Computerization & Minister of Employment","20030801","20051031"
"948","belgium","paul_magnette_","Minister of Climate and Energy","20080101","20161201"
"949","belgium","patrick_dewael_","Deputy Prime Minister","20030801","20081231"
"950","belgium","olivier_deleuze_","Secretary of State for Transport and Sustainable Development","20030531","20161201"
"951","belgium","olivier_chastel_","State Secretary for the Preparation of the European Presidency","20090101","20091131"
"952","belgium","michel_daerden_","Minister of Pensions and Cities","20090801","20161201"
"953","belgium","melchior_wathelet_","State Secretary for the Budget","20090101","20091131"
"954","belgium","marie_arena_","Minister of Public Administration, Social Integration, and City Policy & Minister of Pensions and Social Integration","20030801","20040731"
"955","belgium","marc_verwilghen_","Minister of Economy, Energy, Foreign Trade, and Science Policy & Minister of Cooperation and Development & Minister of Justice","20040801","20071231"
"956","belgium","luc_van_den_bossche_","Minister of Public Administration","20030731","20161201"
"957","belgium","louis_michel_","Minister of Foreign Affairs","20040731","20161201"
"958","belgium","laurette_onkelinx_","Vice Prime Minister & Minister of Social Affairs and Public Health & Minister of Justice & Minister of Employment","20030801","20040431"
"959","belgium","kathleen_van_brempt_","Secretary of State for Labor Organization and Work Satisfaction","20031001","20040731"
"960","belgium","karel_de_gucht_","Minister of Foreign Affairs","20040801","20090731"
"961","belgium","julie_fernandez_","State Secretary for Handicapped Persons","20090101","20090731"
"962","belgium","jo_vandeurzen_","Minister of Justice","20080101","20081231"
"963","belgium","josly_piette_","Minister of Employment","20080101","20080331"
"964","belgium","johan_verbeke_","Permanent Representative to the UN, New York","20040901","20080631"
"965","belgium","johan_vande_lanotte_","Minister of Budget","20051031","20161201"
"966","belgium","joelle_milquet_","Vice Prime Minister","20080401","20161201"
"967","belgium","jef_tavernier_","Minister of Consumer Affairs, Health, and Environment","20030731","20161201"
"968","belgium","jean_marc_delizee_","State Secretary for Pensions and the Fight Against Poverty","20090101","20091131"
"969","belgium","jean_de_ruyt_","Permanent Representative to the UN, New York","20040831","20161201"
"970","belgium","jan_matthysen_","Ambassador to the US","20090301","20161201"
"971","belgium","jan_grauls_","Permanent Representative to the UN, New York","20080701","20161201"
"972","belgium","jacques_simonet_","Secretary of State for European Affairs","20030801","20040331"
"973","belgium","isabelle_simonis_","Secretary of State for Families and the Disabled","20030801","20040731"
"974","belgium","isabelle_durant_","Vice Prime Minister","20030531","20161201"
"975","belgium","inge_vervotte_","Minister of Civil Service and Public Enterprise","20080101","20081231"
"976","belgium","herve_jamar_","Secretary of State for Modernization of Finances and Fighting Tax Fraud","20030801","20071231"
"977","belgium","guy_vanhengel_","Minister of Budget","20090801","20161201"
"978","belgium","guy_quaden_","Governor, National Bank","20030101","20161201"
"979","belgium","guido_de_padt_","Minister of Interior","20090101","20090731"
"980","belgium","gisele_mandaila_malamba_","Secretary of State for the Family and for Disabled Persons","20050401","20071231"
"981","belgium","gisele_malamba_mandaila_","Secretary of State for the Family and for Disabled Persons","20040801","20050331"
"982","belgium","freya_van_den_bossche_","Deputy Prime Minister & Minister of Environment, Consumer Protection, and Sustainable Development & Minister of Employment","20051101","20071231"
"983","belgium","frederique_ries_","Secretary of State for European Affairs","20040401","20040731"
"984","belgium","frans_van_daele_|franciskus_van_daele_","Ambassador to the US","20070131","20161201"
"985","belgium","frank_vandenbroucke_","Minister of Social Affairs and Pensions & Minister of Labor and Pensions","20030801","20040731"
"986","belgium","fientje_moerman_","Minister of Economy, Energy, Foreign Trade, and Science Policy","20030801","20040731"
"987","belgium","etienne_schouppe_","State Secretary for Mobility","20090101","20091131"
"988","belgium","els_van_weert_","Secretary of State for Sustainable Development and Social Economy","20040801","20071231"
"989","belgium","eddy_boutmans_","Secretary of State for Development Aid","20030731","20161201"
"990","belgium","dominique_struye_de_swielande_","Ambassador to the US","20070201","20090231"
"991","belgium","didier_reynders_","Minister of Finance","20030101","20161201"
"992","belgium","didier_donfut_","Secretary of State for European Affairs","20040801","20071231"
"993","belgium","christian_dupont_","Minister of the Civil Service, Social Integration, Urban Policy, and Equal Opportunity","20040801","20080331"
"994","belgium","charles_picque_","Minister of Economic Affairs and Research","20030731","20161201"
"995","belgium","charles_michel_","Minister of Development Cooperation","20080101","20161201"
"996","belgium","carl_devlies_","State Secretary for Justice and Antifraud Coordination","20090101","20091131"
"997","belgium","bruno_tuybens_","Secretary of State for Public Enterprise","20051101","20071231"
"998","belgium","bruno_tobback_","Minister of the Environment and Pensions","20040801","20071231"
"999","belgium","bert_anciaux_","Minister of Mobility and Social Economy","20030801","20040731"
"1000","belgium","bernard_clerfayt_","State Secretary for Finance","20090101","20091131"
"1001","belgium","armand_de_decker_","Minister of Development Cooperation","20040801","20071231"
"1002","belgium","antoine_duquesne_","Minister of the Interior","20030731","20161201"
"1003","belgium","annemie_turtelboom_","Minister of Migration and Asylum Policy","20080401","20161201"
"1004","belgium","annemie_neyts_","Minister of Trade","20030731","20161201"
"1005","belgium","anissa_temsamani_","Secretary of State for Labor Organization and Work Satisfaction","20030801","20030931"
"1006","belgium","andre_flahaut_","Minister of Defense","20071231","20161201"
"1007","belgium","alain_zenner_","Secretary of State for Energy and Sustainable Development","20030601","20030731"
"1008","belgium","leo_tindemans","","19820101","19820630"
"1009","belize","wilfred_elrington_|wilfred_peter_elrington_","Attorney General","20080301","20161201"
"1010","belize","vildo_marin_","Minister of Agriculture and Fisheries & Minister of Works, Transport, and Communication & Minister of Energy and Communications & Minister of Works, and Economic Development & Minister of Health and Environment & Minister of Health and Communications & Minister of Health","20060501","20080231"
"1011","belize","valdemar_castillo_","Minister of Labor, Local Government, and Sugar Industry","20031231","20161201"
"1012","belize","sylvia_flores_","Minister of Human Development & Minister of Defense and National Emergency Management","20040201","20080231"
"1013","belize","stuart_w_leslie_","Permanent Representative to the UN, New York","20060731","20161201"
"1014","belize","servulo_baeza_","Minister of Housing & Minister of Agriculture and Fisheries","20050201","20050731"
"1015","belize","said_wilbert_musa_","Minister of Finance, and Public Utilities Commission","20080231","20161201"
"1016","belize","rodwell_ferguson_","Minister of Youth and Sports","20070701","20080231"
"1017","belize","rene_montero_","Minister of Agriculture and Fisheries","20080301","20161201"
"1018","belize","ralph_fonseca_","Minister of Finance, and Home Affairs & Minister of Home Affairs & Minister of Budget Planning and Management, Investment, and Home Affairs .... & Minister of Home Affairs and Investment","20040101","20041131"
"1019","belize","patrick_faber_","Minister of Education","20080301","20161201"
"1020","belize","pablo_marin_","Minister of Health","20080301","20161201"
"1021","belize","nestor_mendez_","Ambassador to the US","20081001","20161201"
"1022","belize","mike_espat_|michael_espat_","Minister of Works & Minister of Fisheries, Cooperatives, Commerce, and Industry","20060501","20080231"
"1023","belize","michael_finnegan_","Minister of Housing","20080301","20161201"
"1024","belize","melvin_hulse_","Minister of Communications","20080301","20161201"
"1025","belize","maxwell_samuels_","Minister of Communications, Transport, and Public Utilities & Minister of Communications, Transport , and Public Utilities","20040601","20041131"
"1026","belize","mark_espat_","Minister of Tourism & Culture, and Information and Broadcasting & Minister of National Development","20051201","20070631"
"1027","belize","marcial_mes_","Minister of Rural Development & Minister of Local Government, Labor, and Rural Development & Minister of Human Development, Local Government, and Labor & Minister of Local Government and Labor","20050201","20050731"
"1028","belize","marcel_cardona_","Minister of Youth and Sports","20080301","20090431"
"1029","belize","lisa_shoman_","Ambassador to the US, Canada, and the OAS_","20080231","20161201"
"1030","belize","keith_arnold_","Governor, Central Bank","20030531","20161201"
"1031","belize","jose_manuel_heredia_","Minister of Tourism","20080301","20161201"
"1032","belize","jose_coye_","Minister of Works & Minister of Local Government & Minister of Public Service, Works, and Transport & Minister of Transport & Minister of Health and Public Service & Minister of Health","20040201","20050131"
"1033","belize","jorge_meliton_auil_","Governor, Central Bank","20030601","20091231"
"1034","belize","john_saldivar_","Minister of Public Service","20080301","20161201"
"1035","belize","john_briceno_","Deputy Prime Minister","20070631","20161201"
"1036","belize","janine_coye_felson_","Permanent Representative to the UN, New York ""Acting""","20060801","20071131"
"1037","belize","godfrey_smith_","Attorney General & Minister of Foreign Affairs and National Emergency Management & Minister of Information and Attorney General & Minister of Information & Minister of Foreign Affairs & Cooperation, Defense, and National Emergency Management","20040101","20040131"
"1038","belize","glenford_ysaguirre_","Governor, Central Bank","20100101","20161201"
"1039","belize","george_p","Minister of Defense and National Emergency Management","20031231","20161201"
"1040","belize","gaspar_vega_","Deputy Prime Minister","20080301","20161201"
"1041","belize","gabriel_martinez_","Minister of Local Government","20080301","20161201"
"1042","belize","francis_fonseca_","Minister in the Office of the Prime Minister","20040101","20080231"
"1043","belize","florencio_marin_","Minister of Natural Resources and the Environment","20070701","20080231"
"1044","belize","erwin_contreras_","Minister of Economic Development, Commerce, Industry, and Consumer Protection","20080301","20161201"
"1045","belize","elvin_penner_","Minister of Youth, Sports, Information, and Broadcasting","20090501","20161201"
"1046","belize","eden_martinez_","Minister of Human Development","20080301","20161201"
"1047","belize","eamon_courtney_|eamon_courtenay_","Attorney General & Minister of Foreign Affairs & Minister of Investment and Foreign Trade & Minister of Foreign Trade","20040201","20041131"
"1048","belize","douglas_singh_","Minister of Police and Public Security","20100701","20161201"
"1049","belize","dolores_balderamos_garcia_","Minister of Human Development, Women & Children, and Civil Society Issues","20031231","20161201"
"1050","belize","dickie_bradley_|richard_dickie_bradley_","Minister of Housing and Urban Renewal","20031231","20161201"
"1051","belize","dean_barrow_|dean_oliver_barrow_","Minister of Finance","20080301","20161201"
"1052","belize","daniel_silva_","Minister of Agriculture, Fisheries, and Cooperatives","20031231","20161201"
"1053","belize","cordel_hyde_","Minister of Housing & Minister of Housing and Transport & Minister of Education, Youth, and Sports & Minister of Education, Youth, and Sports & Minister of Defense","20040101","20040131"
"1054","belize","carlos_perdomo_","Minister of National Security","20080301","20161201"
"1055","belize","bernard_quinton_pitts_","Attorney General","20100701","20161201"
"1056","belize","assad_shoman_","Minister of Foreign Affairs, Cooperation, and Immigration & Minister of National Development","20041201","20050731"
"1057","belize","anthony_martinez_","Minister of Works","20080301","20161201"
"1058","belize","ainslie_leslie_","Minister of Energy and Communication","20041201","20050131"
"1059","belize","sir_richard_neil_posnett_","","19810101","19830101"
"1060","benin","zakari_bada_body_|zakari_baba_body_","Minister of Relations With Institutions","20081201","20161201"
"1061","benin","victor_topanou_","Minister of Justice, Legislation, & Human Rights and Keeper of the Seals","20081201","20100731"
"1062","benin","vicentia_bocco_","Minister of Higher Education and Scientific Research","20070701","20081131"
"1063","benin","venance_gnigla_","Minister Delegate to the President of the Republic in Charge of Communications and New Technologies","20060501","20070631"
"1064","benin","valentin_houf_","Minister of Sports and Leisure","20081201","20090231"
"1065","benin","valentin_aditi_houde_","Minister of Youth, Sports, and Recreation","20060431","20161201"
"1066","benin","theophile_nata_","Minister of Agriculture, Husbandry, and Fishery","20030631","20161201"
"1067","benin","theophile_montcho_","Minister of Culture, Sports, and Leisure","20060501","20070631"
"1068","benin","sylvain_adekpedjou_akindes_","Minister for Relations with Institutions","20030631","20161201"
"1069","benin","soumanu_toleba_|soumanou_seibou_toleba_","Minister of Tourism and Artisans","20060501","20081131"
"1070","benin","soul_man_lawani_|soule_man_lawani_","Minister of Finance","20070701","20090631"
"1071","benin","sogbossi_bocco_","Minister of Admin. and Institutional Reform","20100701","20161201"
"1072","benin","seidu_mama_sika_|siedou_mama_sika_","Minister of Interior, Security, and Territorial Administration","20051101","20060431"
"1073","benin","sakinatou_abdou_alfa_orou_","Minister Delegate to the Minister of Development, Finance, & Economy in Charge of Microfinance & Promotion of Small and Medium Enterprises & Minister of Microfinance & Youth and Womens Employment","20060501","20070631"
"1074","benin","sacca_lafia_","Minister of Mines, Energy, and Water","20070701","20161201"
"1075","benin","roger_dovonou_","Minister of Agriculture & Minister of Industry","20070101","20090631"
"1076","benin","rogatien_biaou_","Minister of Foreign Affairs and African Integration","20030701","20060431"
"1077","benin","richard_senou_","Minister of Public Works and Transport","20061201","20070631"
"1078","benin","reckia_madougou_|reciatou_madougou_","Minister of Youth, Microfinance, & Youth and Womens Employment","20081201","20161201"
"1079","benin","rafiatou_karimou_","Minister of Primary and Secondary Education","20051101","20060431"
"1080","benin","pierre_osho_","Minister of State for National Defense","20060131","20161201"
"1081","benin","pascal_koupaki_|pascal_irene_koupaki_","Minister of Development, Finance, and Economy","20060801","20161201"
"1082","benin","ousmane_batoko_","Minister of Civil Service, Labor, and Administrative Reform","20040901","20051031"
"1083","benin","nicaise_fagnon_|nicaise_kotchami_fagnon_","Minister Delegate to the President for Land Transport, Air Transport, and Public Works","20081201","20161201"
"1084","benin","nestor_dako_","Minister of Justice and Institutional Relations","20070201","20070631"
"1085","benin","moussa_okanla_","Minister of Foreign Affairs, African Integration, Francophonie, and Beninese Diaspora","20070701","20081131"
"1086","benin","moudjaidou_issoufou_soumanou_","Minister of Commerce and Industry","20060501","20070631"
"1087","benin","modeste_kerekou_","Minister of Youth, Sports, and Leisure","20100701","20161201"
"1088","benin","michel_sogbossi_","Minister of Agriculture, Livestock, and Fisheries","20100701","20161201"
"1089","benin","mathurin_nago_","Minister of Higher Education and Professional Training","20060501","20070631"
"1090","benin","massiyatou_lauriano_","Minister of Family Affairs, Social Welfare, and Solidarity","20030701","20051031"
"1091","benin","massiyatou_latoundji_","Minister of Commerce, Industry, and Employment","20051101","20060431"
"1092","benin","martin_dohu_azonhiho_","Minister of State for National Defense","20060301","20060431"
"1093","benin","martial_sounton_","Minister of Interior","20100801","20161201"
"1094","benin","mariam_alaji_diallo_|mariam_aladji_boni_diallo_","Minister of Foreign Affairs","20060501","20070631"
"1095","benin","mamatou_marie_joe_meba_","Minister of Family and Solidarity","20081201","20161201"
"1096","benin","mamata_bako_","Minister of Handicrafts and Tourism","20081201","20100631"
"1097","benin","luc_gnacadja_","Minister of Environment, Housing, and Urban Affairs","20051031","20161201"
"1098","benin","leon_comlan_ahossi_","Minister of Environment and Conservation of Nature","20081201","20090231"
"1099","benin","lea_hounkpe_|leah_hounkpe_","Minister of Technical Education and Professional Formation & Minister of Technical Education and Professional Formation & Minister of Family Affairs, Social Welfare, and Solidarity","20030701","20040331"
"1100","benin","leandre_houage_","Minister of Small & Medium-Scale Enterprises and private-Sector Promotion","20081201","20100631"
"1101","benin","lazare_sehoueto_","Minister of Agriculture, Husbandry, and Fishery & Minister of Commerce, Industry, Community Develp. and Employ. Promotion","20030701","20051031"
"1102","benin","kifi_salami_","Minister of State for Planning and Development","20051101","20060431"
"1103","benin","kessile_tchala_","Minister of Health","20070701","20081131"
"1104","benin","kemoko_bagnan_","Minister of Higher Education and Scientific Research","20030701","20060431"
"1105","benin","karimou_rafiatou_","Minister of Primary and Secondary Education","20030701","20051031"
"1106","benin","kamarou_fassassi_","Minister of Energy, Mining, and Water Resources","20060431","20161201"
"1107","benin","justin_adanmay","Minister of Environment and Conservation of Nature","20090301","20161201"
"1108","benin","juliette_koudenoukpo_biaou_","Minister of Environment and Conservation of Nature","20070701","20081131"
"1109","benin","jules_codjo_assogba_","Minister of Environment, Housing, and Urban Affairs","20051101","20060431"
"1110","benin","joseph_sourou_attin_","Minister of Public Works and Transportation","20030631","20161201"
"1111","benin","joseph_h_gnonlonfoun_","Minister of Justice, Legislative Affairs, and Human Rights","20030631","20161201"
"1112","benin","joseph_ahanhanzo_","Minister of Admin. and Institutional Reform","20081201","20100631"
"1113","benin","joel_adechi_","Permanent Representative to the UN, New York","20050831","20161201"
"1114","benin","jocelyn_degbey_kuadjo_","Minister of Mines, Energy, and Water","20060501","20070631"
"1115","benin","jean_pierre_babatunde_","Minister of Development, Finance, & Economy Pascal KOUKPAKI Minister of Environment and Natural Protection & Minister of Environment and Natural Protection","20060501","20060731"
"1116","benin","jean_marie_ehouzou_","Permanent Representative to the UN, New York","20061101","20161201"
"1117","benin","jean_francis_regis_zinsou_","Permanent Representative to the UN, New York","20100801","20161201"
"1118","benin","jean_bio_tchabi_orou_","Minister of Primary and Secondary Education","20030631","20161201"
"1119","benin","jean_baptist_edaye_","Minister of Youth, Sports, and Recreation","20051101","20060431"
"1120","benin","issifou_takpara_","Minister of Health","20081201","20161201"
"1121","benin","issifou_kogui_ndouro_|issifou_kgui_ndouro_","Minister of National Defense","20060501","20161201"
"1122","benin","issa_badarou_","Minister Delegate to the President in Charge of Maritime Economy & Minister Delegate to the President in Charge of Maritime Economy, Maritime Transport, and Port Reforms","20081201","20100631"
"1123","benin","idriss_l_daouda_","Minister of Economy and Finance","20090701","20161201"
"1124","benin","idrissou_sina_bio_gounou_","Minister of Admin. and Institutional Reform","20070701","20081131"
"1125","benin","hamed_akobi_","Minister of Public Works and Transportation","20030701","20031131"
"1126","benin","guecadou_bawa_yorou_","Minister of Women, Children, and Family","20060501","20070631"
"1127","benin","gregoire_laourou_","Minister of Finance and Economy","20030701","20051031"
"1128","benin","gregoire_akofodji_","Minister of Agriculture, Livestock, and Fisheries & Minister of Industry, Commerce, & Small and Medium Scale Enterprises & Minister of Justice","20090701","20100631"
"1129","benin","gnimbr_dansou_","Minister of Family and Children","20070701","20081131"
"1130","benin","gerard_kuassi_","Minister of Labor & Public Service and Government Spokesperson","20100701","20161201"
"1131","benin","gaston_zossou_","Minister of Communications and the Promotion of New Information Technologies","20051031","20161201"
"1132","benin","ganiou_soglo_|galiou_soglo_","Minister of Youth, Sports, and Leisure & Minister of Culture, Literacy, and Promotion of National Languages","20070701","20081131"
"1133","benin","frederic_dohou_|frederick_dohou_","Minister of Culture, Handicrafts, and Tourism & Minister of Communications and New Technologies","20030701","20051031"
"1134","benin","francois_noudegbessi_","Minister of Urban Development and Social Housing","20061201","20070631"
"1135","benin","francois_gbendoukpo_noudegbessi_","Minister of Urban Development, Land Reform, and Erosion Prevention","20070701","20161201"
"1136","benin","francois_abiola_","Minister of Higher Education and Scientific Research","20081201","20161201"
"1137","benin","flore_gangbo_","Minister of Health","20060501","20070631"
"1138","benin","felix_hessou_","Minister of Interior and Public Security","20070701","20081131"
"1139","benin","felicien_zacharie_","Minister of Primary Education and Nursery Education","20081201","20090231"
"1140","benin","faitou_akplogan_|fatiou_akplogan_","Minister of Agriculture, Livestock, and Fisheries & Minister of Commerce, Industry, Community Development, and Employment Promotion","20051101","20060431"
"1141","benin","evelyne_sossouhouto_","Minister of Primary and Secondary Education","20060901","20070631"
"1142","benin","etienne_kossi_","Minister of Sports and Leisure","20090301","20100631"
"1143","benin","emmanuel_tiando_","Minister of Work and Public Service & Minister of Civil Service and Labor","20070701","20081131"
"1144","benin","edgar_allia_","Minister of Public Security and Local Government","20060501","20070631"
"1145","benin","dorothe_kindi_gazard_","Minister of Health","20051101","20060431"
"1146","benin","dorothee_sossa_","Minister of Higher Education and Scientific Research & Minister of Justice, Legislative Affairs, and Human Rights & Minister of Justice, Legislative Affairs, and Human Rights","20030701","20031031"
"1147","benin","dominique_sohounhloue_","Minister of Vocational Training","20030631","20161201"
"1148","benin","dmolo_issa_moko_","Minister of Decentralization, Local Communities, and Land Management","20070701","20081131"
"1149","benin","desire_adadja_","Minister Delegate to the President in Charge of Communications and Information Technologies","20081201","20161201"
"1150","benin","daniel_tawema_","Minister of Interior, Security, and Territorial Administration","20051031","20161201"
"1151","benin","damien_zinsou_alahassa_","Minister of Education and Scientific Research","20060431","20161201"
"1152","benin","cyrille_segbe_oguin_","Ambassador to the US","20030101","20161201"
"1153","benin","cossi_gaston_dossouhoui_","Minister of Agriculture","20060501","20061231"
"1154","benin","cosme_sehlin_","Minister of Finance and Economy","20051101","20060431"
"1155","benin","colette_houeto_","Minister of Primary and Secondary Education","20060501","20060831"
"1156","benin","clement_degbo_","Minister of Small & Medium-Scale Enterprises and Private-Sector Promotion","20100701","20161201"
"1157","benin","claudine_prudencio_","Minister of Tourism","20100701","20161201"
"1158","benin","claire_hougan_ayemona_","Minister of Family Affairs, Social Welfare, and Solidaritty","20030631","20161201"
"1159","benin","christine_ouinsavi_","Minister of Trade & Minister of Primary Education, Literacy, and National Languages","20070701","20081131"
"1160","benin","christian_omichessan_","Minister of Public Works and Transportation","20051101","20060431"
"1161","benin","charles_kint_aguiar_","Minister of Work and Public Service","20081201","20100631"
"1162","benin","chabi_felicien_zacharie_","Minister of Primary Education and Nursery Education","20090301","20161201"
"1163","benin","celine_seignon_|celine_kandissounon_","Minister of Health","20051031","20161201"
"1164","benin","cassa_gustave_anani_","Minister of Justice, Legislation, & Human Rights, and Keeper of the Seals","20070701","20081131"
"1165","benin","candide_azannai_","Minister of Industry","20100701","20161201"
"1166","benin","bruno_amoussou_","Minister of State for Coordination of Government Actions, Economic Development, and Job Creation & Development, and Job Creation","20030501","20030531"
"1167","benin","bodehousse_simon_idohou_","Permanent Representative to the UN, New York","20050901","20061031"
"1168","benin","bio_gounou_idrissou_sina_","Minister of Administrative and Institutional Reform","20060501","20070631"
"1169","benin","bernard_lani_davo_","Minister of Secondary Education, Vocational Training, and Technical Training","20081201","20100631"
"1170","benin","bernadette_sohoudji_agbossou_","Minister of Secondary Education, Vocational Training, and Technical Training","20070701","20081131"
"1171","benin","bathelemy_kassa_","Minister of Petroleum and Mining Research","20081201","20161201"
"1172","benin","arman_zinzindohoue_|armand_zinzindohoue_","Minister of Interior & Minister Delegate to the President for Transport and Public Works & Minister of Interior and Public Security","20100701","20100731"
"1173","benin","antoine_kolawole_idji_","Minister of Foreign Affairs and African Integration","20030631","20161201"
"1174","benin","antoine_dayori_","Minister of Culture, Handicrafts, and Tourism","20051101","20060431"
"1175","benin","amos_elegbe_","Minister of Culture, Handicrafts, and Tourism","20030631","20161201"
"1176","benin","alexandre_kpedetin_dossou_","Minister Delegate to the President of the Republic in Charge of Public Works and Transportation","20060501","20061131"
"1177","benin","alexandre_houtondji_","Minister in Charge of Relations With Institutions and Spokesman for the Government","20070701","20090631"
"1178","benin","albert_segbegnon_houngbo_","Minister Delegate for Budget in the Office of the Minister of Finance","20070701","20081131"
"1179","benin","albert_houngbo_","Minister Delegate to the Minister of Development, Finance, and Economy in Charge of Budget","20060501","20070631"
"1180","benin","albert_agossou_","Minister Delegate to the Minister of Foreign Affairs in Charge of African Integration and Relations of the Beninese Diaspora","20060501","20070631"
"1181","benin","alassane_seidou_","Minister of Decentralization, Local Governance, and Regional Planning","20081201","20161201"
"1182","benin","alain_adihou_","Minister of Institutional Relations & Minister of Technical Education and Professional Formation","20030701","20051031"
"1183","benin","ake_natonde_","Minister of Secondary Education, Vocational Training, and Technical Training","20100701","20161201"
"1184","benin","abubakar_arouna_","Minister of Civil Service, Labor, and Administrative Reform","20051101","20060431"
"1185","benin","abraham_zinzindohoue_","Minister of Justice and Institutional Relations","20060501","20070131"
"1186","benin","aboubacar_arouna_","Minister of Labor, Public Function, and Administrative Reform","20030701","20051031"
"1187","benin","abdoulaye_bio_tchane_","Minister of Finance and Economy","20030631","20161201"
"1188","bermuda","thorold_masefield_","Governor","20040131","20161201"
"1189","bermuda","terry_lister_","Minister of Community and Cultural Affairs & Minister of Education","20040131","20161201"
"1190","bermuda","richard_gozney_","Governor","20081001","20161201"
"1191","bermuda","renee_webb_","Minister of Tourism, Telecommunications, and E Commerce","20040201","20161201"
"1192","bermuda","randy_norton_","Minister of Labor and Home Affairs","20040201","20161201"
"1193","bermuda","paula_cox_","Minister of Finance & Minister of Labor, Home Affairs and Public Safety","20040201","20161201"
"1194","bermuda","patparris_","Minister of Health and Family Services","20040201","20161201"
"1195","bermuda","nelson_bascome_","Minister of Health, Family Services, Housing, and Womens Issues","20040131","20161201"
"1196","bermuda","neletha_butterfield_","Minister of Environment","20040201","20161201"
"1197","bermuda","michael_scott_","Minister of Legislative Affairs","20040201","20161201"
"1198","bermuda","maurine_webb_","Minister of Telecommunications","20040131","20161201"
"1199","bermuda","lois_brown_evans_|lois_browne_evans_","Attorney General","20040131","20161201"
"1200","bermuda","larry_mussenden_","Attorney General","20040201","20161201"
"1201","bermuda","john_vereker_","Governor","20040201","20080931"
"1202","bermuda","jennifer_smith_","Premier","20040131","20161201"
"1203","bermuda","ewart_brown_","Minister of Transport and Aviation Services","20030101","20161201"
"1204","bermuda","eugene_cox_","Minister of Finance","20040131","20161201"
"1205","bermuda","dennis_lister_","Minister of Sports, Youth Development, Parks, and Recreation","20040131","20161201"
"1206","bermuda","david_allen_","Minister of Tourism and Marine Services","20040131","20161201"
"1207","bermuda","dale_bulter_","Minister of Sports and Community Affairs","20040201","20161201"
"1208","bermuda","ashfield_devent_","Minister of Housing, Works, and Engineering","20040201","20161201"
"1209","bermuda","arthur_hodgson_","Minister of Environment, Planning, and Natural Resources","20040131","20161201"
"1210","bermuda","alex_scott_","Minister of Works, Engineering, Parks, and Housing","20030101","20161201"
"1211","bhutan","zangley_dukpa_","Minister of Health","20080501","20161201"
"1212","bhutan","yeshey_zimba_","Minister of Finance & Prime Minister & Minister of Works and Human Settlements & Minister of Trade and Industry","20040901","20050931"
"1213","bhutan","wangdi_norbu_","Minister of Finance","20030801","20041131"
"1214","bhutan","ugyen_tshering_","Minister of Foreign Affairs & Minister of Labor and Human Resources","20030801","20070831"
"1215","bhutan","thinley_gyamtso_|thinley_gyamtsho_","Minister of Home Affairs & Minister of Education & Minister of Education","20030801","20040931"
"1216","bhutan","thakur_singh_powdyel_","Minister of Education","20080501","20161201"
"1217","bhutan","sonam_tobgye_","Chief Justice","20030101","20161201"
"1218","bhutan","sanjay_ngedup_|sangay_ngedup_","Minister of Agriculture & Minister of Education and Health","20030801","20070831"
"1219","bhutan","rinzin_gyaltshen_","Chairman, Royal Advisory Council","20030801","20161201"
"1220","bhutan","pema_gyamtsho_","Minister of Agriculture","20080501","20161201"
"1221","bhutan","om_pradhan_","Permanent Representative to the UN, New York","20030831","20161201"
"1222","bhutan","nandalal_rai_","Minister of Information and Communication","20080501","20161201"
"1223","bhutan","minjur_dori_","Minister of Home and Cultural Affairs","20080501","20161201"
"1224","bhutan","leki_dorji_","Minister of Information and Communication","20030801","20080431"
"1225","bhutan","kinzang_dorji_","Prime Minister","20080431","20161201"
"1226","bhutan","khandu_wangchuk_","Minister of Foreign Affairs & Minister of Economic Affairs & Minister of Trade and Industry","20030801","20070831"
"1227","bhutan","jigmi_singay_","Minister of Health","20030801","20070831"
"1228","bhutan","jigme_thinley_|jigme_y_thinley_","Minister of Foreign Affairs & Prime Minister","20070831","20161201"
"1229","bhutan","jigme_singye_wangchuck_","King","20070131","20161201"
